,name,original_name,popularity,gender,id,known_for_department,adult
236,Alexandra Breckenridge,Alexandra Breckenridge,67.296,1,58369,Acting,False
237,Jensen Ackles,Jensen Ackles,67.159,2,49624,Acting,False
238,Jon Bernthal,Jon Bernthal,67.15,2,19498,Acting,False
239,Ester Expósito,Ester Expósito,67.116,1,2025252,Acting,False
240,Gillian Chung Yan-Tung,鍾欣潼,66.875,1,64433,Acting,False
241,Jodie Foster,Jodie Foster,66.674,1,1038,Acting,False
242,Eva Green,Eva Green,66.575,1,10912,Acting,False
243,Ryan Gosling,Ryan Gosling,66.46,2,30614,Acting,False
244,Chadwick Boseman,Chadwick Boseman,66.23,2,172069,Acting,False
245,Charlize Theron,Charlize Theron,66.007,1,6885,Acting,False
246,Mirai Moriyama,森山未來,65.969,2,87657,Acting,False
247,Bruce Willis,Bruce Willis,65.908,2,62,Acting,False
248,Jude Law,Jude Law,65.853,2,9642,Acting,False
249,Alec Baldwin,Alec Baldwin,65.848,2,7447,Acting,False
250,John Cena,John Cena,65.774,2,56446,Acting,False
251,Abigail Spencer,Abigail Spencer,65.766,1,123725,Acting,False
252,Shuya Sophia Cai,Shuya Sophia Cai,65.71,1,1704579,Acting,False
253,Deniz Can Aktaş,Deniz Can Aktaş,65.623,2,1584434,Acting,False
254,Jake Gyllenhaal,Jake Gyllenhaal,65.585,2,131,Acting,False
255,Piper Perabo,Piper Perabo,65.584,1,15555,Acting,False
256,Asa Butterfield,Asa Butterfield,65.563,2,77996,Acting,False
257,Emma Thompson,Emma Thompson,65.562,1,7056,Acting,False
258,Vera Farmiga,Vera Farmiga,65.441,1,21657,Acting,False
259,Josh Brolin,Josh Brolin,65.331,2,16851,Acting,False
260,Lisa Kudrow,Lisa Kudrow,65.256,1,14406,Acting,False
261,Emmy Rossum,Emmy Rossum,65.181,1,4730,Acting,False
262,Kristen Wiig,Kristen Wiig,65.168,1,41091,Acting,False
263,Donal Logue,Donal Logue,65.091,2,10825,Acting,False
264,Paul Chun Pui,秦沛,65.005,2,87733,Acting,False
265,Anthony Hopkins,Anthony Hopkins,64.789,2,4173,Acting,False
266,Linda Cardellini,Linda Cardellini,64.784,1,1817,Acting,False
267,Xu Kai,許凱,64.716,2,2091759,Acting,False
268,Ariana Greenblatt,Ariana Greenblatt,64.537,1,1767250,Acting,False
269,Britt Robertson,Britt Robertson,64.426,1,52018,Acting,False
270,Jon Favreau,Jon Favreau,64.24,2,15277,Acting,False
271,Sebastian Stan,Sebastian Stan,64.138,2,60898,Acting,False
272,Ava Mendez,Ava Mendez,64.126,1,3295424,Acting,False
273,Jean Reno,Jean Reno,64.066,2,1003,Acting,False
274,Evangeline Lilly,Evangeline Lilly,64.04,1,19034,Acting,False
275,Polly Walker,Polly Walker,63.967,1,6416,Acting,False
276,Gustaf Skarsgård,Gustaf Skarsgård,63.947,2,63764,Acting,False
277,Freddie Highmore,Freddie Highmore,63.936,2,1281,Acting,False
278,Matthew McConaughey,Matthew McConaughey,63.916,2,10297,Acting,False
279,Jet Li,Jet Li,63.856,2,1336,Acting,False
280,Park Bo-gum,박보검,63.817,2,587634,Acting,False
281,Iain Armitage,Iain Armitage,63.812,2,1684536,Acting,False
282,Diane Lane,Diane Lane,63.803,1,2882,Acting,False
283,Nicola Coughlan,Nicola Coughlan,63.723,1,1267240,Acting,False
284,Leo Suter,Leo Suter,63.666,2,1502483,Acting,False
285,Debora Caprioglio,Debora Caprioglio,63.662,1,147590,Acting,False
286,Ralph Macchio,Ralph Macchio,63.659,2,2877,Acting,False
287,Daniel Craig,Daniel Craig,63.654,2,8784,Acting,False
288,Kylie Cantrall,Kylie Cantrall,63.606,1,2309874,Acting,False
289,Kelly Reilly,Kelly Reilly,63.455,1,17521,Acting,False
290,Claire Forlani,Claire Forlani,63.423,1,4174,Acting,False
291,Tamsin Egerton,Tamsin Egerton,63.382,1,66442,Acting,False
292,Diego Luna,Diego Luna,63.319,2,8688,Acting,False
293,Dove Cameron,Dove Cameron,63.314,1,1098962,Acting,False
294,Maddie Phillips,Maddie Phillips,63.271,1,1475808,Acting,False
295,Jaime Murray,Jaime Murray,63.27,1,1223059,Acting,False
296,Dennis McDonald,Dennis McDonald,63.254,2,2522236,Acting,False
297,Lucy Liu,Lucy Liu,63.243,1,140,Acting,False
298,Michelle Rodriguez,Michelle Rodriguez,63.191,1,17647,Acting,False
299,Kim Do-hee,Kim Do-hee,63.138,1,1974009,Acting,False
300,Scott Handy,Scott Handy,63.135,2,32559,Acting,False
301,Christina Ricci,Christina Ricci,63.057,1,6886,Acting,False
302,Ben Stiller,Ben Stiller,63.039,2,7399,Acting,False
303,Cobie Smulders,Cobie Smulders,63.036,1,71189,Acting,False
304,Daniel Wu,吳彥祖,63.002,2,64436,Acting,False
305,Michael Beach,Michael Beach,62.938,2,87118,Acting,False
306,Bradley Cooper,Bradley Cooper,62.768,2,51329,Acting,False
307,Bruce Greenwood,Bruce Greenwood,62.753,2,21089,Acting,False
308,Afra Saraçoğlu,Afra Saraçoğlu,62.71,1,1955840,Acting,False
309,Robert Pattinson,Robert Pattinson,62.649,2,11288,Acting,False
310,Carla Gugino,Carla Gugino,62.636,1,17832,Acting,False
311,Sean Astin,Sean Astin,62.565,2,1328,Acting,False
312,Han Seo-ah,Han Seo-ah,62.558,1,2374721,Acting,False
313,Jeong Seok-yong,정석용,62.558,2,17127,Acting,False
314,Junichi Suwabe,諏訪部順一,62.548,2,9721,Acting,False
315,Connie Britton,Connie Britton,62.482,1,86310,Acting,False
316,Hayden Christensen,Hayden Christensen,62.428,2,17244,Acting,False
317,Mark Wahlberg,Mark Wahlberg,62.425,2,13240,Acting,False
318,Burak Özçivit,Burak Özçivit,62.41,2,1424928,Acting,False
319,Özlem Akınözü,Özlem Akınözü,62.382,1,3201456,Acting,False
320,Richie Jen,任賢齊,62.343,2,64496,Acting,False
321,Hayao Miyazaki,宮崎駿,62.253,2,608,Directing,False
322,Yoko Asagami,麻上洋子,62.203,1,121630,Acting,False
323,Elizabeth Banks,Elizabeth Banks,62.154,1,9281,Acting,False
324,Lance Reddick,Lance Reddick,62.118,2,129101,Acting,False
325,Rachael Harris,Rachael Harris,62.111,1,46074,Acting,False
326,Cameron Diaz,Cameron Diaz,62.099,1,6941,Acting,False
327,Valorie Curry,Valorie Curry,62.093,1,1181426,Acting,False
328,Gerard Butler,Gerard Butler,62.042,2,17276,Acting,False
329,Catherine Zeta-Jones,Catherine Zeta-Jones,62.02,1,1922,Acting,False
